ID,Day,Month,Year,Target_country,Item_language,Recruit_code,Target_public,People_reached,Item_title,Item_type,Media_type
202,15,9,2022,Switzerland,French,OR_Long,foresters from all sectors,50,De la science participative pour des forêt résilientes,outreach article,magazine
124,15,9,2022,Hungary,Hungarian,OR_Long,all,,MyGardenOfTrees website translated to Hungarian,website,website
100,15,11,2023,France,French,OR_Long,private forest owners,500,MyGardenOfTrees,outreach article,magazine
199,19,7,2022,Switzerland,English,OR_Long,scientists,50,Help from volunteer foresters sought for a Europe-wide forest experiment,press release,newspaper
188,20,9,2023,Slovenia,Slovene,OR_Long,foresters from all sectors,100,Začetek projekta MyGardenOfTrees v Sloveniji,outreach article,magazine
26,22,7,2022,Croatia,Croatian,OR_Long,all,,MyGardenOfTrees website translated to Croatia,website,website
104,22,7,2022,Germany,German,OR_Long,all,,MyGardenOfTrees website translated to German,website,website
270,23,2,2023,Germany,German,OR_Long,foresters from all sectors,100,Small online magazin ad,press release,newspaper
132,26,7,2022,Italy,Italian,OR_Long,all,,MyGardenOfTrees website translated to Italian,website,website
173,26,8,2022,Romania,Romanian,OR_Long,all,,MyGardenOfTrees website translated to Romanian,website,website
261,27,7,2022,Switzerland,Italian,OR_Long,all,50,"Cambiamento climatico: I nostri boschi sono a rischio, ma c’è chi guarda al domani",interview,newspaper
128,27,9,2023,Hungary,Hungarian,OR_Long,foresters from all sectors,20,MyGardenOfTrees,press release,magazine
220,27,11,2023,Switzerland,French,OR_Long,all,20,A la recherche les forets du futur,press release,newspaper
350,1,4,2024,Spain,Spanish,OR_Long,all,,MyGardenOfTrees website reorganization in Spanish,website,website
300,11,3,2024,Croatia,Croatian,OR_Long,all,,MyGardenOfTrees website reorganization in Croatian,website,website
290,29,2,2024,Europe,English,OR_Long,all,,MyGardenOfTrees website reorganization in English,website,website
310,29,2,2024,France,French,OR_Long,all,,MyGardenOfTrees website reorganization in French,website,website
360,29,2,2024,Italy,Italian,OR_Long,all,,MyGardenOfTrees website reorganization in Italian,website,website
340,4,3,2024,Germany,German,OR_Long,all,,MyGardenOfTrees website reorganization in German,website,website
320,4,3,2024,Hungary,Hungarian,OR_Long,all,,MyGardenOfTrees website reorganization in Hungarian,website,website
330,4,3,2024,Slovenia,Slovenian,OR_Long,all,,MyGardenOfTrees website reorganization in Slovenian,website,website
370,7,4,2024,Bulgaria,Bulgarian,OR_Long,all,,MyGardenOfTrees website reorganization in Bulgarian,website,website
191,5,12,2023,Slovenia,Slovene,PL_Formal,foresters from all sectors,20,Predstavitev projekta MyGardenOfTrees v Sloveniji,presentation,local event
201,8,2,2022,Switzerland,French,PL_Formal,foresters from all sectors,30,"MyGardenOfTrees
Science participative pour des forêts résilientes face au changement climatique en Europe",poster,public forum
196,13,5,2023,Spain,Spanish,PL_Formal,all,40,MyGardenOfTrees. Ciencia participativa para la resiliencia climática de los bosques de Europa,poster,workshop
268,15,6,2023,Spain,Spanish,PL_Formal,forestry schools,10,Presentation in Forestry school ,presentation,local event
269,15,6,2023,Spain,Spanish,PL_Formal,forestry schools,10,Presentation of Project,presentation,local event
103,17,7,2022,Germany,German,PL_Formal,foresters from all sectors,30,"MyGardenOfTrees
Ein partizipatives wissenschaftliches Projekt zur Untersuchung von Waldverjüngung und - wachstum in ganz Europa",brochure,fair
163,18,3,2024,Italy,Italian,PL_Formal,private forest owners,20,My Garden of Trees: un progetto di scienza partecipativo per la resilienza delle foreste al cambiamento climatico,presentation,local event
157,20,10,2023,Italy,Italian,PL_Formal,foresters from all sectors,50,My Garden of Trees: un progetto di scienza partecipativo per la resilienza delle foreste al cambiamento climatico,presentation,scientific conference
194,23,3,2023,Spain,Spanish,PL_Formal,all,100,"MyGardenOf Trees: un proyecto de investigación, participativa para la residencia de los bosques europeos frente al cambio climático ",presentation,workshop
222,24,8,2023,Switzerland,German,PL_Formal,foresters from all sectors,80,"MyGardenOfTrees
Ein partizipatives wissenschaftliches Projekt zur Untersuchung von Waldverjüngung und - wachstum in ganz Europa",brochure,fair
209,24,8,2023,Switzerland,French,PL_Formal,foresters from all sectors,50,"MyGardenOfTrees
Un projet de sciences participatives pour l'étude de la croissance et de la
régénération des forêts en Europe",brochure,fair
262,24,8,2023,Switzerland,Italian,PL_Formal,foresters from all sectors,50,"MyGardenOfTrees.
Un progetto di ricerca partecipativo per lo studio della rigenerazione e della crescita delle foreste in Europa",brochure,fair
200,24,8,2023,Switzerland,English,PL_Formal,foresters from all sectors,10,"MyGardenOfTrees
A participatory science project to study forest regeneration and growth across Europe",brochure,fair
159,27,10,2023,Italy,Italian,PL_Formal,foresters from all sectors,50,"MyGardenOfTrees.
Un progetto di ricerca partecipativo per lo studio della rigenerazione e della crescita delle foreste in Europa",brochure,fair
195,28,4,2023,Spain,Spanish,PL_Formal,all,60,MyGardenOfTrees. Ciencia participativa para la resiliencia climática de los bosques de Europa,poster,workshop
120,28,8,2022,Hungary,Hungarian,PL_Formal,scientists,120,MyGardenOfTrees,poster,scientific conference
131,30,5,2022,Italy,Italian,PL_Formal,scientists,10,"MyGardenOfTrees
Ricerca partecipativa per foreste resilienti al cambio climatico in Europa",poster,scientific conference
138,1,9,2023,Italy,Italian,PL_Informal,scientists,2,Proposta di adesione al progetto MyGardenOfTrees,brochure,local event
168,7,9,2023,Poland,Polish,PL_Informal,foresters from all sectors,50,Forest Trade Show,brochure,local event
22,13,6,2022,Croatia,Croatian,PL_Informal,foresters from all sectors,5,Networking on the Life project event,informal conversation,local event
255,14,11,2023,Switzerland,German,PL_Informal,foresters from all sectors,10,"MyGardenOfTrees
Ein partizipatives wissenschaftliches Projekt zur Untersuchung von Waldverjüngung und - wachstum in ganz Europa",brochure,local event
216,14,11,2023,Switzerland,French,PL_Informal,foresters from all sectors,5,"MyGardenOfTrees
Un projet de sciences participatives pour l'étude de la croissance et de la
régénération des forêts en Europe",brochure,local event
264,14,11,2023,Switzerland,Italian,PL_Informal,foresters from all sectors,2,"MyGardenOfTrees.
Un progetto di ricerca partecipativo per lo studio della rigenerazione e della crescita delle foreste in Europa",brochure,local event
267,15,6,2023,Europe,Any,PL_Informal,policy-makers,50,"MyGardenOfTrees
A participatory science project to study forest regeneration and growth across Europe ",brochure,expert level meeting
117,19,7,2022,Germany,German,PL_Informal,all,10,Interforst forest fair,informal conversation,fair
